Incident Number,Area,Completed Incident Date,Land Type,Waste Type,Incident Size,Overall Environmental Impact
18133054308,Lincolnshire and Northamptonshire,4/30/2015,Commercial / Industrial,Other commercial waste,Car boot load or less,3
533491275402,Hertfordshire and North London,5/1/2015,Highway,"Chemical drums, oil or fuel",Transit van load,3
3350880878,Hertfordshire and North London,5/1/2015,Watercourse / Bank,Black bags - house hold,Small van load,3
133491080976,Wessex,5/1/2015,Watercourse / Bank,Other house hold waste,Tipper lorry load,3
22132645812,Wessex,5/1/2015,Watercourse / Bank,Other house hold waste,Small van load,3
15132589905,Greater Manchester Merseyside and Cheshire,5/5/2015,Watercourse / Bank,"Chemical drums, oil or fuel",Other single item,3
533511277829,East Midlands,5/5/2015,Watercourse / Bank,Asbestos,Small van load,4
24133407614,Yorkshire,5/6/2015,Watercourse / Bank,Vehicle parts,Car boot load or less,3
13132741803,East Anglia,5/6/2015,Highway,Other commercial waste,Transit van load,4
233520976324,Solent and South Downs,5/7/2015,Agricultural,Construction/demolition/excavation,Significant/multiple loads,3
19132953309,North East,5/7/2015,Commercial / Industrial,"Chemical drums, oil or fuel",Other single item,4
24130865714,Yorkshire,5/8/2015,Highway,"Chemical drums, oil or fuel",Small van load,2
23133054913,West Midlands,5/11/2015,Footpath / Bridleway,Other (unidentified),Tipper lorry load,4
153341579879,Wessex,5/11/2015,Watercourse / Bank,"Chemical drums, oil or fuel",Other single item,4
22133555212,Wessex,5/13/2015,Watercourse / Bank,"Chemical drums, oil or fuel",Other single item,4
153371276584,Solent and South Downs,5/13/2015,Footpath / Bridleway,Tyres,Small van load,4
253371079514,Solent and South Downs,5/14/2015,Highway,Black bags - commercial,Small van load,3
15133757605,Greater Manchester Merseyside and Cheshire,5/18/2015,Private - Residential,Asbestos,Car boot load or less,4
553361072452,East Midlands,5/18/2015,Watercourse / Bank,Vehicle parts,Transit van load,4
453340978618,Hertfordshire and North London,5/20/2015,Other (Unidentified),Other house hold waste,Significant/multiple loads,3
23133891913,West Midlands,5/22/2015,Highway,Other commercial waste,Car boot load or less,4
353290978275,Solent and South Downs,5/26/2015,Footpath / Bridleway,Construction/demolition/excavation,Small van load,3
