Incident Number,Area,Completed Incident Date,Land Type,Waste Type,Incident Size,Overall Environmental Impact
17162705307,Kent South London and East Sussex,7/2/2018,Watercourse / Bank,Construction/demolition/excavation,Other single item,3
16158650806,Hertfordshire and North London,7/2/2018,Private - Residential,Other commercial waste,Tipper lorry load,3
16162308806,Hertfordshire and North London,7/3/2018,Private - Residential,Black bags - house hold,Significant/multiple loads,3
14161821504,East Midlands,7/3/2018,Agricultural,Black bags - commercial,Car boot load or less,3
14162083804,East Midlands,7/3/2018,Watercourse / Bank,Other house hold waste,Car boot load or less,3
24161661414,Yorkshire,7/4/2018,Agricultural,Construction/demolition/excavation,Significant/multiple loads,2
18160565008,Lincolnshire and Northamptonshire,7/5/2018,Footpath / Bridleway,"Chemical drums, oil or fuel",Small van load,3
37141240763,East Anglia,7/9/2018,Highway,Other commercial waste,Tipper lorry load,4
537181037311,West Midlands,7/11/2018,Commercial / Industrial,Green,Significant/multiple loads,3
22161149012,Wessex,7/12/2018,Other (Unidentified),Black bags - commercial,Tipper lorry load,3
15163205005,Greater Manchester Merseyside and Cheshire,7/13/2018,Watercourse / Bank,Black bags - commercial,Small van load,3
23163059413,West Midlands,7/13/2018,Watercourse / Bank,Other house hold waste,Transit van load,3
16163210506,Hertfordshire and North London,7/16/2018,Watercourse / Bank,Animal carcass,Single black bag,3
16162425706,Hertfordshire and North London,7/16/2018,Agricultural,Other commercial waste,Significant/multiple loads,3
16162425906,Hertfordshire and North London,7/16/2018,Other (Unidentified),Other commercial waste,Tipper lorry load,3
16162425806,Hertfordshire and North London,7/16/2018,Highway,Other commercial waste,Tipper lorry load,3
13162667903,East Anglia,7/16/2018,Highway,Other commercial waste,Tipper lorry load,3
16163126106,Hertfordshire and North London,7/16/2018,Agricultural,Other commercial waste,Significant/multiple loads,3
23163321413,West Midlands,7/16/2018,Watercourse / Bank,Other commercial waste,Car boot load or less,3
17158559907,Kent South London and East Sussex,7/16/2018,Watercourse / Bank,Asbestos,Car boot load or less,4
20161401610,Solent and South Downs,7/17/2018,Highway,Construction/demolition/excavation,Transit van load,4
19163361109,North East,7/17/2018,Private - Residential,"Chemical drums, oil or fuel",Small van load,3
23163269113,West Midlands,7/18/2018,Footpath / Bridleway,Green,Small van load,4
17162336107,Kent South London and East Sussex,7/19/2018,Council Land,Construction/demolition/excavation,Small van load,4
17163345107,Kent South London and East Sussex,7/19/2018,Council Land,Black bags - commercial,Small van load,3
22163316912,Wessex,7/19/2018,Footpath / Bridleway,Other electrical,Small van load,3
21162462811,Thames,7/19/2018,Council Land,Other (unidentified),Small van load,3
17162452307,Kent South London and East Sussex,7/20/2018,Private - Residential,Construction/demolition/excavation,Significant/multiple loads,3
17161427007,Kent South London and East Sussex,7/20/2018,Watercourse / Bank,"Chemical drums, oil or fuel",Other single item,3
17163245207,Kent South London and East Sussex,7/23/2018,Commercial / Industrial,Black bags - commercial,Significant/multiple loads,3
24163389314,Yorkshire,7/23/2018,Footpath / Bridleway,"Chemical drums, oil or fuel",Tipper lorry load,3
17163063907,Kent South London and East Sussex,7/24/2018,Watercourse / Bank,Green,Car boot load or less,4
21163530811,Thames,7/24/2018,Highway,"Chemical drums, oil or fuel",Other single item,3
21163643611,Thames,7/27/2018,Private - Residential,"Chemical drums, oil or fuel",Car boot load or less,4
16163925806,Hertfordshire and North London,8/1/2018,Highway,Other (unidentified),Small van load,3
13163934203,East Anglia,8/1/2018,Commercial / Industrial,Other commercial waste,Tipper lorry load,3
17158669607,Kent South London and East Sussex,8/2/2018,Commercial / Industrial,Construction/demolition/excavation,Significant/multiple loads,3
17160564407,Kent South London and East Sussex,8/2/2018,Watercourse / Bank,Tyres,Car boot load or less,4
13162568903,East Anglia,8/3/2018,Commercial / Industrial,Other commercial waste,Tipper lorry load,3
16164109106,Hertfordshire and North London,8/6/2018,Footpath / Bridleway,Other (unidentified),Tipper lorry load,3
13164076403,East Anglia,8/6/2018,Council Land,"Chemical drums, oil or fuel",Transit van load,3
16164184406,Hertfordshire and North London,8/16/2018,Highway,Other commercial waste,Tipper lorry load,3
16164185006,Hertfordshire and North London,8/16/2018,Highway,Other commercial waste,Tipper lorry load,3
16164184806,Hertfordshire and North London,8/16/2018,Commercial / Industrial,Other commercial waste,Significant/multiple loads,3
19163859209,North East,8/16/2018,Watercourse / Bank,Tyres,Car boot load or less,4
16163129506,Hertfordshire and North London,8/16/2018,Private - Residential,Black bags - house hold,Significant/multiple loads,3
16161759006,Hertfordshire and North London,8/16/2018,Private - Residential,Other house hold waste,Significant/multiple loads,3
17164364207,Kent South London and East Sussex,8/20/2018,Commercial / Industrial,Construction/demolition/excavation,Significant/multiple loads,3
20163586910,Solent and South Downs,8/20/2018,Watercourse / Bank,Construction/demolition/excavation,Car boot load or less,3
24164526314,Yorkshire,8/20/2018,Highway,Other house hold waste,Transit van load,4
22164549012,Wessex,8/21/2018,Footpath / Bridleway,"Chemical drums, oil or fuel",Other single item,3
24162452014,Yorkshire,8/22/2018,Watercourse / Bank,Other house hold waste,Transit van load,4
24164478114,Yorkshire,8/23/2018,Other (Unidentified),Other house hold waste,Small van load,3
22164595812,Wessex,8/28/2018,Highway,"Chemical drums, oil or fuel",Other single item,3
16164347806,Hertfordshire and North London,8/29/2018,Watercourse / Bank,"Chemical drums, oil or fuel",Single black bag,3
23162963013,West Midlands,8/29/2018,Footpath / Bridleway,Other commercial waste,Small van load,4
13164592903,East Anglia,8/30/2018,Agricultural,Black bags - commercial,Tipper lorry load,3
16162746906,Hertfordshire and North London,8/30/2018,Highway,Other commercial waste,Tipper lorry load,3
16164598306,Hertfordshire and North London,8/30/2018,Commercial / Industrial,Other commercial waste,Significant/multiple loads,3
13161895003,East Anglia,8/30/2018,Highway,Other commercial waste,Significant/multiple loads,3
13163978403,East Anglia,8/31/2018,Agricultural,Construction/demolition/excavation,Tipper lorry load,3
13164069103,East Anglia,8/31/2018,Footpath / Bridleway,"Chemical drums, oil or fuel",Car boot load or less,4
37211238775,East Anglia,9/4/2018,Council Land,Green,Tipper lorry load,3
22164889712,Wessex,9/5/2018,Private - Residential,Black bags - house hold,Small van load,3
17164718307,Kent South London and East Sussex,9/7/2018,Commercial / Industrial,Black bags - commercial,Significant/multiple loads,3
23163640313,West Midlands,9/7/2018,Footpath / Bridleway,Construction/demolition/excavation,Tipper lorry load,4
16163536906,Hertfordshire and North London,9/12/2018,Other (Unidentified),Other house hold waste,Significant/multiple loads,3
16161575206,Hertfordshire and North London,9/12/2018,Private - Residential,Black bags - house hold,Significant/multiple loads,3
13163875503,East Anglia,9/14/2018,Highway,Other house hold waste,Tipper lorry load,3
14164701704,East Midlands,9/14/2018,Watercourse / Bank,Vehicle parts,Small van load,4
15164745705,Greater Manchester Merseyside and Cheshire,9/17/2018,Commercial / Industrial,Construction/demolition/excavation,Significant/multiple loads,3
13165168303,East Anglia,9/18/2018,Watercourse / Bank,Vehicle parts,Car boot load or less,3
24165026214,Yorkshire,9/18/2018,Watercourse / Bank,Other commercial waste,Other single item,3
23164889313,West Midlands,9/18/2018,Commercial / Industrial,Construction/demolition/excavation,Significant/multiple loads,2
17164865407,Kent South London and East Sussex,9/21/2018,Watercourse / Bank,White goods,Car boot load or less,3
23163112313,West Midlands,9/21/2018,Agricultural,"Chemical drums, oil or fuel",Transit van load,2
12164976902,"Devon, Cornwall and the Isles of Scilly",9/25/2018,Other (Unidentified),Other commercial waste,Car boot load or less,4
17165332907,Kent South London and East Sussex,9/26/2018,Agricultural,"Chemical drums, oil or fuel",Small van load,3
537162133475,Cumbria and Lancashire,9/28/2018,Agricultural,Construction/demolition/excavation,Tipper lorry load,3
337161342742,West Midlands,9/28/2018,Commercial / Industrial,Construction/demolition/excavation,Transit van load,3
22164730212,Wessex,9/29/2018,Agricultural,Other house hold waste,Small van load,3
15165488005,Greater Manchester Merseyside and Cheshire,10/1/2018,Watercourse / Bank,other house hold waste,tipper lorry load,3
21163216811,Thames,10/1/2018,Footpath / Bridleway,other commercial waste,single black bag,3
13165207903,East Anglia,10/2/2018,Watercourse / Bank,green,car boot load or less,3
16165195406,Hertfordshire and North London,10/2/2018,Watercourse / Bank,"chemical drums, oil or fuel",other single item,3
19164219109,North East,10/3/2018,Watercourse / Bank,other house hold waste,single black bag,4
13164896403,East Anglia,10/3/2018,Highway,construction/demolition/excavation,tipper lorry load,3
13165182203,East Anglia,10/3/2018,Highway,construction/demolition/excavation,tipper lorry load,3
14165409404,East Midlands,10/4/2018,Watercourse / Bank,other commercial waste,small van load,3
16165533006,Hertfordshire and North London,10/4/2018,Private - Residential,black bags - house hold,significant/multiple loads,3
19165531209,North East,10/10/2018,Watercourse / Bank,black bags - commercial,car boot load or less,4
13165383603,East Anglia,10/10/2018,Highway,asbestos,transit van load,3
16163260306,Hertfordshire and North London,10/15/2018,Highway,other commercial waste,other single item,3
14165188304,East Midlands,10/15/2018,Watercourse / Bank,white goods,other single item,3
16165705606,Hertfordshire and North London,10/15/2018,Watercourse / Bank,vehicle parts,other single item,3
137151240053,Cumbria and Lancashire,10/16/2018,Highway,other commercial waste,transit van load,2
11162811101,Cumbria and Lancashire,10/19/2018,Commercial / Industrial,other commercial waste,tipper lorry load,3
24164771114,Yorkshire,10/22/2018,Footpath / Bridleway,tyres,tipper lorry load,3
14165600404,East Midlands,10/22/2018,Watercourse / Bank,vehicle parts,other single item,3
17165779807,Kent South London and East Sussex,10/22/2018,Watercourse / Bank,white goods,transit van load,3
37171036845,East Anglia,10/24/2018,Commercial / Industrial,other house hold waste,transit van load,3
13165986903,East Anglia,10/24/2018,Watercourse / Bank,vehicle parts,transit van load,3
23165788713,West Midlands,10/24/2018,Watercourse / Bank,vehicle parts,car boot load or less,3
16166076906,Hertfordshire and North London,10/30/2018,Commercial / Industrial,other (unidentified),significant/multiple loads,4
16165971206,Hertfordshire and North London,11/1/2018,Private - Residential,black bags - house hold,significant/multiple loads,3
15166141005,Greater Manchester Merseyside and Cheshire,11/1/2018,Commercial / Industrial,"chemical drums, oil or fuel",other single item,4
24166157614,Yorkshire,11/2/2018,Commercial / Industrial,other house hold waste,tipper lorry load,3
15164430505,Greater Manchester Merseyside and Cheshire,11/5/2018,Highway,construction/demolition/excavation,significant/multiple loads,3
13165993003,East Anglia,11/6/2018,Highway,asbestos,small van load,3
18165099008,Lincolnshire and Northamptonshire,11/6/2018,Watercourse / Bank,black bags - commercial,small van load,3
16165641706,Hertfordshire and North London,11/6/2018,Highway,asbestos,small van load,3
14165990604,East Midlands,11/6/2018,Council Land,other house hold waste,significant/multiple loads,3
13166207903,East Anglia,11/8/2018,Commercial / Industrial,other house hold waste,car boot load or less,4
14165283904,East Midlands,11/8/2018,Highway,other house hold waste,significant/multiple loads,4
16166285706,Hertfordshire and North London,11/8/2018,Highway,green,tipper lorry load,3
16165962706,Hertfordshire and North London,11/8/2018,Watercourse / Bank,vehicle parts,other single item,4
21166002411,Thames,11/12/2018,Council Land,"chemical drums, oil or fuel",other single item,4
21166125111,Thames,11/13/2018,Agricultural,other house hold waste,transit van load,3
23166324513,West Midlands,11/13/2018,Back Alleyway,construction/demolition/excavation,transit van load,3
19166108809,North East,11/14/2018,Commercial / Industrial,construction/demolition/excavation,significant/multiple loads,3
20164655010,Solent and South Downs,11/16/2018,Private - Residential,black bags - house hold,small van load,3
16166485706,Hertfordshire and North London,11/19/2018,Watercourse / Bank,other house hold waste,car boot load or less,3
20166453310,Solent and South Downs,11/20/2018,Other (Unidentified),"chemical drums, oil or fuel",other single item,4
13166518403,East Anglia,11/22/2018,Agricultural,other commercial waste,tipper lorry load,3
15166549405,Greater Manchester Merseyside and Cheshire,11/22/2018,Other (Unidentified),construction/demolition/excavation,transit van load,3
17166278607,Kent South London and East Sussex,11/23/2018,Highway,asbestos,transit van load,3
13164653003,East Anglia,11/23/2018,Private - Residential,other house hold waste,transit van load,3
14165732204,East Midlands,11/26/2018,Footpath / Bridleway,other commercial waste,significant/multiple loads,4
13163995803,East Anglia,11/27/2018,Council Land,construction/demolition/excavation,tipper lorry load,3
17165996407,Kent South London and East Sussex,11/27/2018,Council Land,construction/demolition/excavation,significant/multiple loads,3
19166406309,North East,11/29/2018,Commercial / Industrial,other house hold waste,significant/multiple loads,3
137171040378,Solent and South Downs,11/29/2018,Agricultural,construction/demolition/excavation,tipper lorry load,3
137181039478,Solent and South Downs,11/29/2018,Agricultural,construction/demolition/excavation,tipper lorry load,3
24162169014,Yorkshire,12/3/2018,Footpath / Bridleway,"chemical drums, oil or fuel",small van load,3
20165834710,Solent and South Downs,12/4/2018,Council Land,vehicle parts,car boot load or less,3
13166680203,East Anglia,12/5/2018,Agricultural,other commercial waste,tipper lorry load,3
11166756901,Cumbria and Lancashire,12/5/2018,Watercourse / Bank,"chemical drums, oil or fuel",other single item,3
13166566803,East Anglia,12/10/2018,Other (Unidentified),construction/demolition/excavation,small van load,3
15166374205,Greater Manchester Merseyside and Cheshire,12/13/2018,Watercourse / Bank,animal carcass,transit van load,3
13166871203,East Anglia,12/13/2018,Council Land,"chemical drums, oil or fuel",car boot load or less,4
13166615803,East Anglia,12/14/2018,Council Land,"chemical drums, oil or fuel",small van load,3
13165749103,East Anglia,12/17/2018,Private - Residential,other commercial waste,significant/multiple loads,3
13166159003,East Anglia,12/17/2018,Highway,vehicle parts,significant/multiple loads,4
37151037658,Solent and South Downs,12/17/2018,Private - Residential,other house hold waste,tipper lorry load,3
16166932106,Hertfordshire and North London,12/17/2018,Other (Unidentified),other (unidentified),transit van load,3
16162799106,Hertfordshire and North London,12/17/2018,Commercial / Industrial,black bags - house hold,tipper lorry load,3
12165659502,"Devon, Cornwall and the Isles of Scilly",12/18/2018,Back Alleyway,green,small van load,3
17166229107,Kent South London and East Sussex,12/18/2018,Private - Residential,other house hold waste,single black bag,4
13165709403,East Anglia,12/19/2018,Other (Unidentified),"chemical drums, oil or fuel",other single item,4
22166503012,Wessex,12/21/2018,Highway,"chemical drums, oil or fuel",other single item,3
19166880109,North East,12/21/2018,Highway,other commercial waste,transit van load,3
23166819913,West Midlands,12/28/2018,Other (Unidentified),other commercial waste,other single item,3
23165516913,West Midlands,12/28/2018,Council Land,"chemical drums, oil or fuel",small van load,3
22167107112,Wessex,12/28/2018,Watercourse / Bank,"chemical drums, oil or fuel",small van load,3
21167159911,Thames,1/2/2019,Watercourse / Bank,vehicle parts,other single item,3
13167158203,East Anglia,1/4/2019,Agricultural,other commercial waste,tipper lorry load,3
23166071013,West Midlands,1/4/2019,Private - Residential,green,significant/multiple loads,3
17167112107,Kent South London and East Sussex,1/7/2019,Watercourse / Bank,animal carcass,car boot load or less,3
14167153704,East Midlands,1/8/2019,Private - Residential,asbestos,transit van load,3
23161752213,West Midlands,1/8/2019,Other (Unidentified),construction/demolition/excavation,tipper lorry load,3
17166665407,Kent South London and East Sussex,1/10/2019,Watercourse / Bank,vehicle parts,other single item,4
337181038863,Yorkshire,1/11/2019,Commercial / Industrial,other commercial waste,significant/multiple loads,3
16167345706,Hertfordshire and North London,1/15/2019,Highway,construction/demolition/excavation,tipper lorry load,3
16167052306,Hertfordshire and North London,1/17/2019,Watercourse / Bank,other (unidentified),tipper lorry load,3
13166801703,East Anglia,1/17/2019,Watercourse / Bank,"chemical drums, oil or fuel",other single item,3
16166646606,Hertfordshire and North London,1/17/2019,Private - Residential,other commercial waste,car boot load or less,4
24167103614,Yorkshire,1/21/2019,Commercial / Industrial,"chemical drums, oil or fuel",transit van load,4
16159097306,Hertfordshire and North London,1/22/2019,Private - Residential,black bags - house hold,significant/multiple loads,3
23165179513,West Midlands,1/23/2019,Commercial / Industrial,vehicle parts,significant/multiple loads,3
16165334006,Hertfordshire and North London,1/25/2019,Commercial / Industrial,other commercial waste,significant/multiple loads,2
20167336510,Solent and South Downs,1/28/2019,Footpath / Bridleway,vehicle parts,small van load,3
23167656613,West Midlands,1/29/2019,Watercourse / Bank,"chemical drums, oil or fuel",other single item,3
16166884806,Hertfordshire and North London,1/29/2019,Commercial / Industrial,construction/demolition/excavation,tipper lorry load,4
16166195206,Hertfordshire and North London,1/29/2019,Agricultural,construction/demolition/excavation,tipper lorry load,3
23167122713,West Midlands,1/29/2019,Watercourse / Bank,black bags - house hold,small van load,3
15167687905,Greater Manchester Merseyside and Cheshire,1/29/2019,Highway,"chemical drums, oil or fuel",other single item,4
17167563707,Kent South London and East Sussex,1/30/2019,Watercourse / Bank,tyres,transit van load,4
17167568307,Kent South London and East Sussex,1/30/2019,Other (Unidentified),other (unidentified),tipper lorry load,3
16166753706,Hertfordshire and North London,2/1/2019,Back Alleyway,construction/demolition/excavation,small van load,4
13163421003,East Anglia,2/1/2019,Agricultural,other house hold waste,tipper lorry load,3
23167769213,West Midlands,2/4/2019,Watercourse / Bank,green,small van load,4
23166592713,West Midlands,2/5/2019,Watercourse / Bank,other (unidentified),car boot load or less,3
13167599703,East Anglia,2/5/2019,Agricultural,other commercial waste,tipper lorry load,3
13167468703,East Anglia,2/5/2019,Agricultural,other commercial waste,tipper lorry load,3
13167468903,East Anglia,2/5/2019,Council Land,other commercial waste,significant/multiple loads,3
17166779807,Kent South London and East Sussex,2/6/2019,Commercial / Industrial,black bags - commercial,significant/multiple loads,3
16167630306,Hertfordshire and North London,2/6/2019,Commercial / Industrial,other commercial waste,significant/multiple loads,3
16167776506,Hertfordshire and North London,2/6/2019,Watercourse / Bank,vehicle parts,other single item,3
17167761907,Kent South London and East Sussex,2/6/2019,Footpath / Bridleway,other (unidentified),transit van load,4
14167679504,East Midlands,2/8/2019,Watercourse / Bank,"chemical drums, oil or fuel",car boot load or less,3
21167122211,Thames,2/8/2019,Watercourse / Bank,vehicle parts,other single item,3
19167854609,North East,2/13/2019,Watercourse / Bank,white goods,other single item,4
14167485404,East Midlands,2/13/2019,Private - Residential,other (unidentified),tipper lorry load,3
21167612511,Thames,2/14/2019,Commercial / Industrial,other commercial waste,significant/multiple loads,3
23168002013,West Midlands,2/15/2019,Commercial / Industrial,construction/demolition/excavation,significant/multiple loads,3
22167999712,Wessex,2/15/2019,Highway,other (unidentified),transit van load,3
18167566008,Lincolnshire and Northamptonshire,2/20/2019,Watercourse / Bank,"chemical drums, oil or fuel",other single item,4
15168041505,Greater Manchester Merseyside and Cheshire,2/21/2019,Watercourse / Bank,construction/demolition/excavation,other single item,3
22167997312,Wessex,2/21/2019,Other (Unidentified),asbestos,transit van load,3
16167547506,Hertfordshire and North London,2/21/2019,Watercourse / Bank,"chemical drums, oil or fuel",other single item,3
21167442411,Thames,2/22/2019,Council Land,black bags - commercial,significant/multiple loads,3
21167972611,Thames,2/25/2019,Private - Residential,asbestos,transit van load,3
17168236307,Kent South London and East Sussex,2/26/2019,Footpath / Bridleway,"chemical drums, oil or fuel",car boot load or less,4
24167032514,Yorkshire,2/26/2019,Commercial / Industrial,construction/demolition/excavation,tipper lorry load,3
437161029381,Solent and South Downs,2/28/2019,Private - Residential,green,transit van load,3
17160661307,Kent South London and East Sussex,2/28/2019,Private - Residential,other house hold waste,significant/multiple loads,3
23168281013,West Midlands,3/4/2019,Commercial / Industrial,"chemical drums, oil or fuel",car boot load or less,4
17168398607,Kent South London and East Sussex,3/4/2019,Watercourse / Bank,other commercial waste,single black bag,3
16167817206,Hertfordshire and North London,3/4/2019,Highway,other commercial waste,small van load,3
16168265106,Hertfordshire and North London,3/4/2019,Other (Unidentified),other commercial waste,significant/multiple loads,3
16168378506,Hertfordshire and North London,3/5/2019,Agricultural,construction/demolition/excavation,significant/multiple loads,3
12168426502,"Devon, Cornwall and the Isles of Scilly",3/5/2019,Watercourse / Bank,other (unidentified),other single item,4
16168136906,Hertfordshire and North London,3/6/2019,Watercourse / Bank,black bags - house hold,transit van load,4
437161137814,East Anglia,3/7/2019,Highway,construction/demolition/excavation,significant/multiple loads,3
13163732403,East Anglia,3/8/2019,Council Land,white goods,transit van load,3
20167094510,Solent and South Downs,3/8/2019,Agricultural,construction/demolition/excavation,significant/multiple loads,3
17168435307,Kent South London and East Sussex,3/8/2019,Footpath / Bridleway,other commercial waste,car boot load or less,3
22168069312,Wessex,3/11/2019,Watercourse / Bank,"chemical drums, oil or fuel",car boot load or less,3
19168471809,North East,3/12/2019,Watercourse / Bank,construction/demolition/excavation,small van load,3
137161032080,Solent and South Downs,3/13/2019,Private - Residential,construction/demolition/excavation,small van load,3
17164586807,Kent South London and East Sussex,3/13/2019,Commercial / Industrial,construction/demolition/excavation,significant/multiple loads,3
22167727112,Wessex,3/14/2019,Highway,green,transit van load,3
23167478813,West Midlands,3/15/2019,Watercourse / Bank,"chemical drums, oil or fuel",other single item,3
24168729414,Yorkshire,3/16/2019,Highway,asbestos,car boot load or less,4
13167974003,East Anglia,3/18/2019,Council Land,tyres,significant/multiple loads,3
13168758203,East Anglia,3/18/2019,Commercial / Industrial,"chemical drums, oil or fuel",car boot load or less,3
21168052011,Thames,3/18/2019,Highway,asbestos,transit van load,3
20168797210,Solent and South Downs,3/19/2019,Private - Residential,green,small van load,3
17168771607,Kent South London and East Sussex,3/21/2019,Watercourse / Bank,vehicle parts,other single item,4
16167227406,Hertfordshire and North London,3/21/2019,Watercourse / Bank,other commercial waste,car boot load or less,4
16168147806,Hertfordshire and North London,3/22/2019,Private - Residential,black bags - house hold,significant/multiple loads,3
16168875006,Hertfordshire and North London,3/22/2019,Back Alleyway,other house hold waste,significant/multiple loads,4
17168113507,Kent South London and East Sussex,3/26/2019,Watercourse / Bank,construction/demolition/excavation,small van load,3
16167491506,Hertfordshire and North London,3/26/2019,Other (Unidentified),construction/demolition/excavation,tipper lorry load,3
21168898311,Thames,3/26/2019,Footpath / Bridleway,other (unidentified),car boot load or less,3
16168094006,Hertfordshire and North London,3/27/2019,Highway,construction/demolition/excavation,tipper lorry load,4
13168310703,East Anglia,3/27/2019,Highway,"chemical drums, oil or fuel",transit van load,3
16168140006,Hertfordshire and North London,3/27/2019,Other (Unidentified),other commercial waste,significant/multiple loads,3
23168947313,West Midlands,3/27/2019,Highway,green,car boot load or less,3
13168750303,East Anglia,3/28/2019,Highway,"chemical drums, oil or fuel",other single item,3
16168857406,Hertfordshire and North London,3/28/2019,Highway,tyres,transit van load,3
19168978809,North East,4/2/2019,Watercourse / Bank,"chemical drums, oil or fuel",other single item,3
16168873406,Hertfordshire and North London,4/2/2019,Highway,construction/demolition/excavation,small van load,3
13169051303,East Anglia,4/3/2019,Agricultural,construction/demolition/excavation,car boot load or less,3
23169201113,West Midlands,4/5/2019,Highway,other (unidentified),car boot load or less,4
13169196703,East Anglia,4/5/2019,Watercourse / Bank,green,transit van load,3
37161034440,Thames,4/8/2019,Highway,other commercial waste,significant/multiple loads,3
24167658614,Yorkshire,4/8/2019,Commercial / Industrial,construction/demolition/excavation,significant/multiple loads,4
23168815713,West Midlands,4/9/2019,Highway,construction/demolition/excavation,small van load,3
16168688606,Hertfordshire and North London,4/11/2019,Council Land,black bags - commercial,significant/multiple loads,4
21169274911,Thames,4/15/2019,Footpath / Bridleway,white goods,small van load,3
20169283110,Solent and South Downs,4/15/2019,Commercial / Industrial,"chemical drums, oil or fuel",car boot load or less,4
21169211211,Thames,4/16/2019,Footpath / Bridleway,other (unidentified),tipper lorry load,3
13168919803,East Anglia,4/16/2019,Council Land,asbestos,tipper lorry load,3
11169483801,Cumbria and Lancashire,4/18/2019,Commercial / Industrial,other house hold waste,significant/multiple loads,2
18169578308,Lincolnshire and Northamptonshire,4/23/2019,Council Land,"chemical drums, oil or fuel",other single item,4
16169132106,Hertfordshire and North London,4/23/2019,Council Land,other commercial waste,transit van load,3
22169405212,Wessex,4/23/2019,Private - Residential,black bags - house hold,significant/multiple loads,4
18169494108,Lincolnshire and Northamptonshire,4/24/2019,Agricultural,black bags - commercial,significant/multiple loads,3
22169716712,Wessex,4/25/2019,Highway,"chemical drums, oil or fuel",car boot load or less,3
18169882908,Lincolnshire and Northamptonshire,5/1/2019,Watercourse / Bank,vehicle parts,small van load,3
437151035126,Solent and South Downs,5/1/2019,Commercial / Industrial,construction/demolition/excavation,significant/multiple loads,3
21169935911,Thames,5/3/2019,Footpath / Bridleway,construction/demolition/excavation,small van load,3
13168463503,East Anglia,5/3/2019,Agricultural,black bags - commercial,significant/multiple loads,3
138150932347,Hertfordshire and North London,5/3/2019,Other (Unidentified),other commercial waste,significant/multiple loads,3
16169448006,Hertfordshire and North London,5/3/2019,Council Land,"chemical drums, oil or fuel",car boot load or less,3
13169249703,East Anglia,5/7/2019,Watercourse / Bank,black bags - house hold,car boot load or less,4
19169484209,North East,5/7/2019,Footpath / Bridleway,other house hold waste,other single item,3
24168386014,Yorkshire,5/8/2019,Commercial / Industrial,other commercial waste,transit van load,4
14169830204,East Midlands,5/9/2019,Watercourse / Bank,"chemical drums, oil or fuel",other single item,4
138161136600,East Anglia,5/9/2019,Agricultural,black bags - commercial,tipper lorry load,3
23170076713,West Midlands,5/10/2019,Watercourse / Bank,black bags - house hold,single black bag,3
16169856606,Hertfordshire and North London,5/13/2019,Council Land,other commercial waste,significant/multiple loads,3
20169024110,Solent and South Downs,5/15/2019,Agricultural,construction/demolition/excavation,tipper lorry load,3
14170207404,East Midlands,5/15/2019,Highway,other (unidentified),small van load,4
22170127712,Wessex,5/15/2019,Watercourse / Bank,other house hold waste,small van load,3
22169882312,Wessex,5/16/2019,Watercourse / Bank,other (unidentified),transit van load,4
16168059806,Hertfordshire and North London,5/17/2019,Other (Unidentified),"chemical drums, oil or fuel",other single item,4
53816830202,Hertfordshire and North London,5/17/2019,Council Land,construction/demolition/excavation,significant/multiple loads,3
24169055714,Yorkshire,5/17/2019,Other (Unidentified),construction/demolition/excavation,significant/multiple loads,3
24169571114,Yorkshire,5/17/2019,Agricultural,other commercial waste,transit van load,4
13168009303,East Anglia,5/18/2019,Highway,construction/demolition/excavation,tipper lorry load,3
13168009403,East Anglia,5/18/2019,Highway,construction/demolition/excavation,tipper lorry load,3
13168009603,East Anglia,5/18/2019,Highway,construction/demolition/excavation,tipper lorry load,3
13168009903,East Anglia,5/18/2019,Highway,construction/demolition/excavation,tipper lorry load,3
13168010303,East Anglia,5/18/2019,Highway,construction/demolition/excavation,tipper lorry load,3
13168007603,East Anglia,5/18/2019,Highway,construction/demolition/excavation,tipper lorry load,3
13170255303,East Anglia,5/20/2019,Footpath / Bridleway,other commercial waste,tipper lorry load,2
16168447206,Hertfordshire and North London,5/20/2019,Watercourse / Bank,other commercial waste,other single item,3
238161131855,East Anglia,5/20/2019,Private - Residential,black bags - house hold,significant/multiple loads,3
11170003501,Cumbria and Lancashire,5/21/2019,Watercourse / Bank,"chemical drums, oil or fuel",car boot load or less,3
19170345709,North East,5/21/2019,Other (Unidentified),other (unidentified),small van load,4
18170161708,Lincolnshire and Northamptonshire,5/23/2019,Watercourse / Bank,black bags - house hold,car boot load or less,3
19169117709,North East,5/23/2019,Commercial / Industrial,construction/demolition/excavation,tipper lorry load,4
13168472003,East Anglia,5/24/2019,Highway,other commercial waste,significant/multiple loads,3
13170465503,East Anglia,5/24/2019,Watercourse / Bank,green,transit van load,4
14170319604,East Midlands,5/28/2019,Railway,other house hold waste,transit van load,3
13818837211,Hertfordshire and North London,5/29/2019,Private - Residential,other house hold waste,significant/multiple loads,3
19170083709,North East,5/30/2019,Council Land,black bags - house hold,significant/multiple loads,3
17170479507,Kent South London and East Sussex,5/30/2019,Watercourse / Bank,"chemical drums, oil or fuel",car boot load or less,4
21170593411,Thames,6/3/2019,Watercourse / Bank,vehicle parts,other single item,3
238151135306,East Anglia,6/3/2019,Commercial / Industrial,green,significant/multiple loads,3
18170696708,Lincolnshire and Northamptonshire,6/3/2019,Watercourse / Bank,other house hold waste,other single item,4
21169135411,Thames,6/5/2019,Highway,construction/demolition/excavation,significant/multiple loads,3
